gene_set,AUROC,within_AUROC
random_463,0.882939662175473,0.6841366920726244
random_464,0.8845342683161677,0.6829717294978496
random_465,0.8804139468272782,0.6745835512758155
random_466,0.8791187167006439,0.6695062894113464
random_467,0.878512217418925,0.6542978024217782
random_468,0.8777413656858644,0.6561549301481254
random_469,0.8809405387218803,0.670103044454109
random_470,0.8786736923189301,0.6693872659113761
random_471,0.8819519980167031,0.6833503909440062
random_472,0.8822110883120505,0.6862139655043312
random_473,0.8822390891000569,0.6793705459133048
random_474,0.8861912951858566,0.7047217006177546
random_475,0.87798695362494,0.6608264521875198
random_476,0.8788745675372366,0.6742410648355172
random_477,0.8883582020173848,0.7070657845445254
random_478,0.8903958403888679,0.7171635263449013
random_479,0.8840797258800327,0.6949346304410621
random_480,0.878482445830096,0.6708971575477588
random_481,0.8806165928464074,0.6699474994368502
random_482,0.8877507066602033,0.7022752237221211
random_483,0.8899529188331308,0.6991746194881664
random_484,0.8798087756461763,0.6612662641710125
random_485,0.8802585590551006,0.6797661323898184
random_486,0.8815853315713865,0.6820521306267661
random_487,0.8846054323742233,0.6997224167002282
random_488,0.8811013495715769,0.6853052847335278
random_489,0.8830441394240027,0.6836195807172143
random_490,0.8808888534728725,0.6825178433577529
random_491,0.8862878038306848,0.6899435777871514
random_492,0.8833551363184609,0.6902140761656694
random_493,0.8773015430315667,0.6665945441851685
random_494,0.8846291168352247,0.6940239959566212
random_495,0.8806958361832159,0.6813875303706249
random_496,0.8858472064510274,0.6880016083785091
random_497,0.886786284262229,0.7079258901457606
random_498,0.8810031808009775,0.6788891361401296
random_499,0.887553151693439,0.7088868645674362
random_500,0.8875045653458706,0.7074553798732658
random_501,0.8788538713026233,0.6736913520960166
random_502,0.8803797482363931,0.6907841177941679
random_503,0.8852337346410697,0.6958440536710239
random_504,0.8758262445962907,0.6704303009405009
random_505,0.8747184980067423,0.6596214683540204
random_506,0.8847496419662086,0.6877521202535738
random_507,0.8845038326770303,0.6887075958189661
random_508,0.882656002018713,0.6909540055712928
random_509,0.8806753612987053,0.6799105125034801
random_510,0.8848838908035673,0.6983898085947776
random_511,0.8801589515088329,0.6701334911536176
random_512,0.8755560867958023,0.6575958490129008
random_513,0.8801815292193204,0.6656356264077891
random_514,0.883908068875298,0.6887777703856163
random_515,0.8814236353212787,0.6681667923487679
random_516,0.8814355882268308,0.6859018392423974
random_517,0.8751887563001773,0.6611904659264596
random_518,0.8785639026679328,0.6748435189862984
random_519,0.8727689569761805,0.6516112211462918
random_520,0.8793038760616504,0.6673694756384669
random_521,0.8775504512221846,0.6679653818352941
random_522,0.8805716587755354,0.6896182470806727
random_523,0.8856786483477321,0.6922705390024914
random_524,0.8804108479258389,0.6750927469133493
random_525,0.8843304048714731,0.6914783328259548
random_526,0.8753917343444606,0.6597550240305932
random_527,0.8846931976899903,0.6953203867952013
random_528,0.8861669466745468,0.6961025594331922
random_529,0.8822391997751083,0.6851400849674776
random_530,0.8830521080277042,0.6868418382041287
random_531,0.8856736679704188,0.7006071062621814
random_532,0.8789577951758959,0.677510396113096
random_533,0.876291190487258,0.6626006735596536
random_534,0.8795289891162155,0.6660169773012841
random_535,0.8824153944569507,0.6825816330668862
random_536,0.879746908292439,0.6769597639019661
random_537,0.8810133629057071,0.6778456985755003
random_538,0.8754353403147156,0.6538606879685696
random_539,0.880879003393297,0.6853054552414509
random_540,0.8783828382838283,0.6665222987748778
random_541,0.8791510338156552,0.6667273438252749
random_542,0.8866456162718888,0.6974292110809656
random_543,0.8785811679759525,0.67457711507885
random_544,0.8873859216907606,0.7075228092346811
random_545,0.8857644215125738,0.6897891054060901
random_546,0.884761373521658,0.6961923732410349
random_547,0.8842638891655765,0.6892833511300448
random_548,0.877226283996609,0.6722630732276201
random_549,0.8779294025982075,0.6673213038268243
random_550,0.8838147698069606,0.6991404018148811
random_551,0.8756583505433039,0.6401510370340187
random_552,0.8769166152027678,0.6627045669555571
random_553,0.8820703096466588,0.6795154110054902
random_554,0.8875901171606094,0.7021872298304019
random_555,0.8820858041538561,0.6735263485282181
random_556,0.8826011071932143,0.683507188431386
random_557,0.8815802405190217,0.6832653821689514
random_558,0.8783290502088438,0.6677386510932104
random_559,0.8778141898696912,0.6617501576109629
random_560,0.8830257673654689,0.6941849451248814
random_561,0.8801346029975231,0.6806338693177804
random_562,0.874007853501648,0.6468525919799922
random_563,0.883080772866019,0.6828303580962274
random_564,0.8753745797114922,0.6633489554664131
random_565,0.8840476301151242,0.6863197158886479
random_566,0.8814010576107912,0.6792371581604872
random_567,0.8758075405126026,0.663515533121657
random_568,0.8839585366987402,0.6905322966089893
random_569,0.8773517895049062,0.6729220061010883
random_570,0.8817825545129966,0.6974264108113813
random_571,0.8782816812868409,0.6724776648737439
random_572,0.8795224592881823,0.6717745151645826
random_573,0.8860624694260171,0.7022888109464924
random_574,0.8815256777186773,0.6813914782574587
random_575,0.876218587653534,0.6566279669236158
random_576,0.8867241955583889,0.7090641391673519
random_577,0.8852740203597824,0.6959127551306431
random_578,0.8730724279671428,0.6401807026682014
random_579,0.8793381853275871,0.6660432599086996
random_580,0.8884858103516589,0.7079489230958261
random_581,0.8832309589107804,0.6851349039782765
random_582,0.8848711631726552,0.6844881292285904
random_583,0.8750428865824208,0.6447286699407669
random_584,0.8815293299953738,0.6779989409609369
random_585,0.8837630845579528,0.685496570036994
random_586,0.8810180112578663,0.6740851232921968
random_587,0.8842053420633814,0.6902610773286335
random_588,0.8821855223751751,0.678284855078216
random_589,0.8869028250913622,0.6982213494716516
random_590,0.8883845426796201,0.6987619797234598
random_591,0.8866377583432388,0.7050304897485002
random_592,0.8822040051087604,0.6885163072955238
random_593,0.8771941882317005,0.6727279653503118
random_594,0.8851407675978865,0.6886167119437331
random_595,0.8889984571897833,0.7172896138742598
random_596,0.8809990858240754,0.6852165564855807
random_597,0.8796698784566586,0.6781283354859284
random_598,0.8814915898028435,0.6821927840754457
random_599,0.880525728629201,0.6861506160459379
random_600,0.8772573836860548,0.6649860660075672
random_601,0.8718579906280366,0.6377338197224618
random_602,0.8875927733618433,0.7013801772329559
random_603,0.8836684573889985,0.6954403477076199
random_604,0.8739351399928725,0.6508308550758144
random_605,0.871875145261005,0.652275555911447
random_606,0.8800907756771653,0.6754702149828494
random_607,0.8830304157176281,0.6803306469825553
random_608,0.882839943954154,0.677129903981034
random_609,0.8817658425802338,0.6716821373980537
random_610,0.876764437007081,0.6575946885094957
random_611,0.8853634458013205,0.7064001892240186
random_612,0.8871425472527132,0.7013096027976192
random_613,0.889567216278972,0.7055059821903333
random_614,0.8869674593213849,0.6936672350981138
random_615,0.8815571094332774,0.6798106359793665
random_616,0.8766549793812379,0.6636953999135904
random_617,0.8780416271003358,0.6542636572619657
random_618,0.8756461762876488,0.6635420526955067
random_619,0.8900293952936541,0.7145168525489406
random_620,0.880068751341935,0.6796931606673454
random_621,0.8826614250962319,0.6864376564717107
random_622,0.8790149035024227,0.6635056333872186
random_623,0.8769996214913242,0.6666777759969309
random_624,0.8764840971018631,0.6635089504477897
random_625,0.8801321681463921,0.6692152279083392
random_626,0.8809900104698598,0.681262755362446
random_627,0.8790727865543093,0.6668693435018743
random_628,0.8810276399873388,0.6728179988033105
random_629,0.8818300341100509,0.6677218444108498
random_630,0.881343285233956,0.6758237500150125
random_631,0.881907285295934,0.6817230177234936
random_632,0.8828619682893842,0.6817049530369579
random_633,0.8831223866853486,0.6894006961048947
random_634,0.8839526709210156,0.695104935798552
random_635,0.8800414146042371,0.6840102253715654
random_636,0.8827056951167954,0.6852523395330609
