,fold0,fold1,fold2,fold3,fold4
TEN1,0.01310377809660448,0.013508064516129048,0.016989247311827917,-0.0024731182795698636,0.002337398373983679
RTEL1,-0.021520803443328563,0.01733870967741933,-0.0031182795698925458,-0.004086021505376314,0.006402439024390217
WRN,0.003443328550932545,-0.001008064516129048,0.00021505376344079785,-0.004193548387096735,0.0005081300813007505
BLM,0.0029650884744141237,0.015927419354838723,-0.002795698924731238,0.0003225806451613078,0.0003048780487804548
DCLRE1B,0.01444285031085606,0.004334677419354826,0.0027956989247311494,0.010000000000000031,-0.002134146341463472
PIF1,0.0057388809182209455,0.012399193548387078,-0.016881720430107584,0.007204301075268838,0.002032520325203202
RECQL4,0.008512673362027722,0.0045362903225806715,-0.0030107526881720803,-0.0019354838709676914,0.010060975609756074
ATRX,-0.027833572453371612,0.01290322580645158,-0.003333333333333366,0.020322580645161348,0.006910569105691012
DAXX,-0.01635581061692972,0.0033266129032258228,-0.0010752688172043444,0.022903225806451655,0.00101626016260159
H3-3A,0.001912960306073641,-0.0015120967741935499,0.0009677419354838345,0.004516129032258065,-0.002540650406504086
SMARCAL1,0.0031563845050214924,0.006854838709677425,0.00924731182795695,0.011827956989247346,0.0005081300813007727
FANCM,0.019799139167862245,0.006955645161290325,-0.004516129032258109,0.01634408602150541,0.008536585365853621
SLX4,0.004304160688665704,-0.00010080645161290037,-0.004946236559139838,0.007204301075268838,-0.0037601626016260602
MUS81,-0.0002869440459110528,0.00040322580645160146,-0.0010752688172043444,0.0013978494623656302,-0.0015243902439024959
BRCA1,-0.03845050215208037,0.013306451612903203,0.0020430107526881124,0.0005376344086021501,0.006910569105690989
BRCA2,0.012816834050693404,0.005443548387096775,-0.005053763440860259,-0.013010752688172023,0.004268292682926789
RAD51,0.025920612147297906,0.006653225806451601,-0.00784946236559143,0.02537634408602154,0.008841463414634099
RAD52,-0.009469153515064565,-0.01118951612903225,0.003548387096774186,0.008602150537634422,0.009247967479674758
POLD3,0.03959827833572453,0.032661290322580604,0.006666666666666643,0.06623655913978496,-0.005691056910569148
TOP3A,0.028216164514586327,0.015423387096774177,-0.0019354838709678024,0.005376344086021545,0.010060975609756074
RMI1,-0.006217120994739411,0.0017137096774193505,0.0010752688172042334,0.03408602150537636,-0.0038617886178862414
RMI2,-0.0013390722142515798,-0.004233870967741948,-0.007096774193548439,0.0033333333333333435,0.002032520325203202
PML,-0.003156384505021559,0.004233870967741904,-0.0013978494623656523,-0.008924731182795664,0.007825203252032464
SP100,-0.003538976566236296,0.005040322580645173,-0.006344086021505424,0.0006451612903226156,0.012296747967479638
NBN,-0.040076518412242954,0.0009072580645161255,-0.00193548387096778,0.006344086021505402,-0.0006097560975610206
MRE11,-0.0034433285509325893,-0.0014112903225806273,-0.0006451612903226378,-0.0039784946236558925,0.0007113821138211129
RAD50,-0.005164992826398906,0.015927419354838702,-0.00193548387096778,0.00784946236559143,0.009756097560975573
FANCD2,0.024964131994261084,0.013104838709677403,-0.00677419354838713,0.09043010752688177,0.0033536585365853354
SMC5,-0.0013390722142515798,0.0014112903225806494,0.0,0.0036559139784946293,0.000508130081300795
SMC6,-0.002773792443806844,0.0013104838709677269,-0.005806451612903274,0.020430107526881746,-0.002540650406504108
NSMCE2,0.0063127690100430065,0.0060483870967741995,-0.0072043010752688595,0.00408602150537638,0.0024390243902438604
MYC,0.003443328550932523,-0.00010080645161290037,-0.00010752688172044333,0.013978494623655946,0.0012195121951219079
MAX,-0.005260640841702547,0.00030241935483870107,-0.002795698924731238,0.013440860215053797,0.00101626016260159
GABPA,0.0021042563366810096,-0.0032258064516129227,-0.002258064516129088,0.024086021505376354,-0.0010162601626016788
GABPB1,0.036441893830702995,0.019455645161290325,0.0004301075268817067,0.0489247311827957,-0.003150406504065062
SP1,-0.006121472979435705,-0.00020161290322582293,-0.0013978494623656523,0.0008602150537634579,0.0034552845528454945
TNKS,-0.0040172166427546955,-0.0033266129032258453,0.001290322580645098,0.019354838709677448,0.0015243902439023849
