gene_set,AUROC,within_AUROC
random_468,0.842339691879409,0.799448848393218
random_469,0.888583088165512,0.8555402398756851
random_470,0.8870140141090127,0.864297730986409
random_471,0.8778463193192243,0.8483198077072837
random_472,0.8758913036601184,0.8430843775335617
random_473,0.8826864066306033,0.8556955674300792
random_474,0.8463003384897663,0.8041828288690072
random_475,0.8618518870013603,0.8353477029972167
random_476,0.8981050900003164,0.8749436590759672
random_477,0.8538167093733194,0.8274657954743587
random_478,0.8713169466325014,0.8283971894203694
random_479,0.8408971560532726,0.7959174275328899
random_480,0.8600993325108348,0.8306547402095609
random_481,0.8653696498054475,0.8237616332505655
random_482,0.8834835974818892,0.8508067446288718
random_483,0.8656227262661732,0.8106458691476126
random_484,0.8741640568156654,0.8451366494388619
random_485,0.8465217803929012,0.8074788639955123
random_486,0.8693049887697321,0.8326162108870447
random_487,0.8756635348454652,0.8480647860902566
random_488,0.8504887539147765,0.8286285754156847
random_489,0.8993072031887634,0.871341857398698
random_490,0.8408212331150549,0.8074954615342628
random_491,0.8890765872639271,0.8536118463690037
random_492,0.8912214102685774,0.8563011235962614
random_493,0.840606118123438,0.8057715306411523
random_494,0.8479516623960014,0.8128843826509904
random_495,0.8526019423618361,0.8022710827841922
random_496,0.8784157413558571,0.8599766936167361
random_497,0.8454651861693714,0.800601570047596
random_498,0.884097307899149,0.8470974670975554
random_499,0.8608775426275663,0.8319900801223554
random_500,0.9024200436556895,0.8740460769453146
random_501,0.8818512543102085,0.8464231535911748
random_502,0.9026098510012337,0.8814690670923155
random_503,0.8651482079023125,0.8259960381853058
random_504,0.8423586726139635,0.8104560404781364
random_505,0.8633829995887508,0.8367018806633614
random_506,0.8760621302711081,0.840074246325118
random_507,0.859042738287305,0.8287744296783389
random_508,0.8834013476321534,0.8548840249398149
random_509,0.8572142608585619,0.8302265872280399
random_510,0.8803834108379994,0.8520227047127138
random_511,0.8902091044256746,0.8607221044441467
random_512,0.830565309544146,0.7999745504507191
random_513,0.901198949732688,0.8737703174782505
random_514,0.8524121350162918,0.81557755531224
random_515,0.882939483091329,0.8342368561205102
random_516,0.8553035335800829,0.8187115966619516
random_517,0.881477966530638,0.8528571255013834
random_518,0.8794027395526873,0.8448323431133107
random_519,0.8712853120749107,0.8358181388852342
random_520,0.8376767580905381,0.7974400838062303
random_521,0.85970706399671,0.8275705368209322
random_522,0.8646420549808611,0.8311897024241564
random_523,0.8682737021922748,0.8248327412723545
random_524,0.8641675366170004,0.8294229217698084
random_525,0.856511973680048,0.82199530154426
random_526,0.8459080699756414,0.804368054664301
random_527,0.8664072632944229,0.82296145508483
random_528,0.8925121002182784,0.8644345246244326
random_529,0.8571193571857898,0.8284875190213917
random_530,0.8762645914396887,0.8520407035169926
random_531,0.8160134130524185,0.7687941988910592
random_532,0.8691974312739237,0.8453334254889655
random_533,0.8610040808579292,0.8201244507025958
random_534,0.8603460820600424,0.8343812320174849
random_535,0.8683369713074562,0.8288491049941985
random_536,0.8667932048970295,0.8367340826041589
random_537,0.8601689285375343,0.8314898820406035
random_538,0.8519439435639493,0.8115746827611104
random_539,0.8608079466008668,0.8369002439092743
random_540,0.859574198854829,0.8282430772012223
random_541,0.8636550567840309,0.8372210480073443
random_542,0.8780804150453956,0.8310139181779533
random_543,0.8691847774508874,0.8326814265133469
random_544,0.8447122836987124,0.8162907914032173
random_545,0.8690266046629338,0.8276915718692766
random_546,0.8397836196260795,0.8042264812983829
random_547,0.8666160513745216,0.8286717290139018
random_548,0.8444338995919142,0.8044624520274138
random_549,0.8730315396539179,0.8428574175460458
random_550,0.8710195817911487,0.8402047229225532
random_551,0.8679763373509222,0.8409045222642164
random_552,0.8862484578153175,0.8571622002106294
