,fold0,fold1,fold2,fold3,fold4
RMI1,0.0018226171366457545,0.0005010373037930727,0.0008115760493730307,0.0003661726242371488,0.00026214340786427924
RMI2,0.0005637220824854739,-0.0016649052073954619,-6.78488015553258e-05,-0.0012778677294806196,0.00011565150346952713
PML,0.008764235246533669,-0.00017484114246937298,0.011714356545452142,0.005176236143978085,0.0050449755846825985
SP100,0.0016557756234437892,-4.4362677939946416e-05,-0.0007776516485954454,7.223813675427682e-05,0.0009920328964276193
NBN,0.0001693694149171865,0.0009994650382954661,0.004783340509648837,-8.967492838460878e-05,-0.0006425083526085951
MRE11,0.004484497642731689,0.001184744457927267,0.00017484114246939518,0.0007074355461452297,0.0073785659213569275
RAD50,0.00013650669261981995,0.0006550018919377898,-0.0006967550005871903,0.0004184829991281669,0.0002030326394242943
FANCD2,-0.0005814173944916678,-0.0009994650382953774,0.0010594851319789323,0.00023166023166023563,0.0007067591878694212
SMC5,0.0016456640165830815,0.0021033128482144557,0.006377787346198471,-0.0022244364179847763,-0.0011153945001285193
SMC6,-0.001991986551562852,0.00029227176054595904,9.133492517057195e-05,-0.002072487233777531,0.00010794140323822088
NSMCE2,0.007694932821011946,-0.0012656411059354111,0.005156508918203029,-0.00014198530327564908,0.007011051143664826
MYC,0.002583515552915361,0.0008663770044754493,0.0037316840855416535,-0.003136131523228269,0.0012002056026728213
MAX,-0.0006749497579533914,0.00026095692905889754,0.0011064573792095357,0.0014746543778802134,0.002122847597018751
GABPA,2.2751115436681067e-05,-0.00046711290301528765,0.0020511214624026053,-0.001422344002989151,-0.0009046517604729187
GABPB1,0.010596963990040087,0.0030662439164416354,0.013222687595412364,0.0022692738821771473,0.0024055512721665286
SP1,0.00120833701985672,-0.00011743061807643063,-0.00509126968593836,-0.0050193050193050315,-2.0560267283498136e-05
TNKS,0.00010869977375282946,0.0003183674534518621,0.0011612583343118877,-0.0006028147963631936,0.00041891544590078045
TNKS2,0.00150410152053293,0.0021659425111885565,0.007272869612870348,0.00013451239257693536,0.0005782575173476801
PINX1,0.00023256695779672043,-0.000558447828185904,-0.001683172192429705,0.0009141860754764197,0.002210228732973496
HNRNPA1,0.003273632721159836,0.0006863167234248291,0.00485379888049473,-0.0024386598580146803,0.0012027756360832643
G3BP1,0.003753934047044316,0.0025521587661957003,0.0032880573061415674,-0.0006401793498567399,-0.00045232588023644824
ZNF451,0.0030233704513568994,0.0011716966114742934,0.0054383424015866265,-0.0002266782911944043,-3.855050115653125e-05
SENP3,0.0008645423865920376,0.00010960191020479293,-0.00020354640466593298,-4.981940465811352e-05,-0.0011231046003598478
