task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
alt_pheno,"LR (signature, K=60)",GBM (panel),AUPRC,0.3216236781506605,0.47013888595413417,-0.14045834155047004,-0.2185781918606474,-0.05662811741869942,0.002,-0.20772716676269115,-0.06769618774110071,False
alt_pheno,"LR (signature, K=60)",Elastic net (panel),AUROC,0.7670312564008029,0.7250215066978002,0.041573368563352586,-0.01061150710745159,0.09599156118143465,0.128,-0.0026842407111548894,0.08795420097497027,False
alt_pheno,"LR (signature, K=60)",Elastic net (panel),within_AUROC,0.6330057009673042,0.5510597671466714,0.08422112813863236,-0.07875252130111904,0.24376419086750992,0.292,-0.04874368078960043,0.2107219811864432,False
alt_pheno,"LR (signature, K=60)",Elastic net (panel),AUPRC,0.3216236781506605,0.3311942510910666,-0.007096289914025031,-0.10220839000229001,0.09243820888267362,0.892,-0.08696202299170085,0.07340075135625386,False
alt_pheno,"LR (signature, K=60)",Linear SVM (panel),AUROC,0.7670312564008029,0.7169923395190693,0.04941303101060997,-0.006314776125517202,0.10598295850231451,0.078,0.00324751136782601,0.09525521281389544,False
alt_pheno,"LR (signature, K=60)",Linear SVM (panel),within_AUROC,0.6330057009673042,0.5189207007484571,0.11642301779227031,-0.04529664498256525,0.27186123086911484,0.158,-0.01409124648020898,0.24789478195532602,False
alt_pheno,"LR (signature, K=60)",Linear SVM (panel),AUPRC,0.3216236781506605,0.3148209678327029,0.00567187474611392,-0.09678678520717214,0.10680098885463449,0.912,-0.08163133259838455,0.08820538474895293,False
alt_pheno,GBM (panel),LR (panel),AUROC,0.7875752734423006,0.7111343246896891,0.07683986727295072,0.03369331448936953,0.12128138953750355,0.002,0.04034656507312282,0.11358199172504199,False
alt_pheno,GBM (panel),LR (panel),within_AUROC,0.5807518492581083,0.5171389205001385,0.06283882685181133,-0.03627743111787105,0.16462782084810543,0.24,-0.01832612049722069,0.14733505766621438,False
alt_pheno,GBM (panel),LR (panel),AUPRC,0.47013888595413417,0.3086808012871495,0.15297251174595267,0.08119018056088921,0.20893350830457066,0.0,0.09206915428352215,0.20421881826266164,False
alt_pheno,Elastic net (panel),LR (panel),AUROC,0.7250215066978002,0.7111343246896891,0.014003441071648024,-0.008341014296833435,0.036605423784359534,0.18,-0.004137479005366429,0.032867354880996257,False
alt_pheno,Elastic net (panel),LR (panel),within_AUROC,0.5510597671466714,0.5171389205001385,0.03369115520272538,-0.02120357249675381,0.09667834535168734,0.258,-0.014311803336688888,0.08587373798164598,False
alt_pheno,Elastic net (panel),LR (panel),AUPRC,0.3311942510910666,0.3086808012871495,0.019610460109507663,-0.027039312219885717,0.06418954416016201,0.416,-0.021468642179584118,0.056324867457607564,False
alt_pheno,Linear SVM (panel),LR (panel),AUROC,0.7169923395190693,0.7111343246896891,0.006163778624390643,-0.012701241243701708,0.024520707877596228,0.512,-0.009716930891811065,0.022021834418909418,False
alt_pheno,Linear SVM (panel),LR (panel),within_AUROC,0.5189207007484571,0.5171389205001385,0.0014892655490874056,-0.04589861132387929,0.04997191462044609,0.952,-0.038858197101005285,0.04134432310587821,False
alt_pheno,Linear SVM (panel),LR (panel),AUPRC,0.3148209678327029,0.3086808012871495,0.0068422954493687115,-0.037572752109904774,0.050024320141324644,0.748,-0.030336493765555056,0.042801356572118324,False
