,fold0,fold1,fold2,fold3,fold4
PIF1,0.0379506641366224,0.03526249209361165,0.017023959646910482,0.016393442622950793,0.009437270843296663
RECQL4,0.0,-3.1625553447200974e-05,0.0008511979823455418,-0.0008827238335435306,0.0025187310696636045
H3-3A,0.0077482605945603964,-0.001644528779253651,-0.0009457755359394638,-0.0010718789407313967,0.0034752112227004472
SMARCAL1,0.00970904490828588,0.0011701454775458365,-0.006841109709962145,0.0007566204287515754,0.0007970667941973542
FANCM,0.0010752688172042779,0.0049652118912080654,0.005611601513240893,0.002616645649432492,0.0049736967957914715
SLX4,-0.009361163820366846,0.0029728020240354035,0.013398486759142524,-0.0001891551071879105,0.006535947712418322
MUS81,0.002340290955091717,0.008412397216951284,0.0015762925598991507,0.0,0.004782400765184125
BRCA1,-0.00034788108791903303,-0.0007273877292852893,0.001860025220680983,0.000409836065573721,-0.0006057707635899856
BRCA2,0.0003162555344718543,0.0004111321948133684,-0.0026796973518284696,-0.001197982345523374,-0.0014666029013231442
RAD51,6.325110689437974e-05,0.013282732447817835,0.006967213114754123,-0.002774274905422458,0.011254583134066621
RAD52,0.0060088551549652095,0.004585705249841854,0.0019546027742749273,-0.0016078184110971394,-0.0035708592380041537
POLD3,0.0006641366223908874,0.004554079696394675,0.00223833543505676,-0.000725094577553631,0.00035070938944685713
TOP3A,-0.005660974067046176,0.008602150537634402,0.009174022698612894,0.0009773013871374303,0.010457516339869289
RMI1,0.01141682479443389,-0.0016129032258064724,-0.005075662042875129,0.0018915510718789275,-0.001912960306073641
RMI2,0.03747628083491461,0.04389626818469321,0.021090794451450214,0.02506305170239591,0.01804559222062809
PML,0.02881087919038583,0.029063883617963304,0.022572509457755397,0.02068095838587638,0.02292364100111588
SP100,0.006736242884250477,0.0005692599620493288,0.0003467843631778544,0.00037831021437575443,6.376534353578212e-05
NBN,-0.011195445920303592,0.0028146742567994876,0.008953341740226994,0.0024274905422446034,0.00401721664275465
MRE11,0.014358001265022114,0.002846299810246644,0.005832282471626727,0.0024590163934425924,0.0034752112227004472
RAD50,-0.0024667931688804544,0.0036369386464263132,0.0071878940731399995,-0.0011349306431273965,0.004559222062808854
FANCD2,0.00047438330170774813,0.005028462998102468,0.0005674653215636871,0.0015132408575031508,3.188267176790216e-05
SMC5,-0.008538899430740043,0.006166982922201125,0.003593947036570033,0.0018915510718789275,0.0009564801530367983
