,fold0,fold1,fold2,fold3,fold4
RMI1,2.713290972768956e-05,1.1094100157515996e-05,-0.00027093765950692017,0.0002595088697807668,-2.6006219359753223e-05
RMI2,0.0021130445616512226,0.004086511793028458,0.0006892080177682836,0.0022293416553234914,0.0007359206754976588
PML,0.001522765341860799,-0.00027679779893057254,0.00013298569438124908,0.0022348748934851725,0.0006435155981983298
SP100,0.0009789996816035984,0.0008836450775477234,0.0014126281228876492,-0.0002595088697807668,0.0009954295452784256
NBN,0.0009330398549219687,0.00023963256340273631,-0.0003084605940210761,-0.00041997277646825814,-1.6599714484977212e-06
MRE11,0.0030693411963398144,0.0038213627992633057,0.003583440246106373,0.0027035401657758084,0.007552316766818223
RAD50,-9.025845480847838e-05,0.00033393241474184433,4.4408920985006264e-17,0.0005942697785598083,0.000628022531345751
FANCD2,0.00037598460622669807,-0.0004276775610730477,0.00019037371187358154,0.0003834534046014415,-3.873266713183554e-06
SMC5,0.0016063790024502644,0.002092347289711305,0.004125867372980796,0.008280490908889715,0.004027090734039329
SMC6,0.0004097623101734227,0.001350706694180004,0.0016526645422064502,0.0028739639011542417,0.001937186680389047
NSMCE2,0.001205476417902185,0.0005441656127271211,-0.0003217039826731938,0.0025115368015669716,0.0016953841727255004
MYC,0.0005565015158436548,0.0008786527324768257,0.00013629654154430072,-0.00011896462047520374,-1.0513152507152234e-05
MAX,0.00047344158810580517,-0.00016141915729219746,3.807474237476072e-05,-0.00010347155362260274,0.0009024711441629529
GABPA,0.0007907305120644414,-1.7195855244223068e-05,0.003117714411841854,0.00041056627159343775,8.299857242450858e-05
GABPB1,0.0008283843459722772,0.0015271028866848057,-6.952779042335155e-05,0.002443477972178876,0.00215630291158988
SP1,0.002704431247144834,0.0016968426190951068,0.006397108526811013,0.004900235715945711,0.0016428184101899613
TNKS,0.002074836994891838,-5.547050079046656e-07,0.0009143456248534854,0.00016212387813596685,0.00012892444916610125
TNKS2,0.0013632902806041125,0.002186092436042486,0.0005109740788258321,0.0014746079700762582,0.0006833549129621197
PINX1,0.0006949347287401153,-7.377576604763458e-05,0.0008205382885679624,0.00032812102298507284,2.489957172733259e-05
HNRNPA1,0.005061671996345396,0.003744258803168443,0.00469202223785683,0.0032983632681517607,0.0015847194094927852
G3BP1,0.0008294918116754424,0.0007449688255785292,0.0004872463408241767,0.0015033808085167522,0.0008023195334373012
ZNF451,0.0014884339050625028,0.0012192416073131928,0.0001721640524769752,0.001705344001416509,0.0019266735278819168
SENP3,0.0015842296883868511,0.0001636379773236163,0.0008547503759191554,0.0009821497736905772,0.0018049422883259282
